1	-0.168   0.688   0.705  -0.121  -0.725   0.678
2	-0.168   0.705   0.688  -0.121   0.678  -0.725
3	 0.168   0.688   0.705   0.121  -0.725   0.678
4	 0.168   0.705   0.688   0.121   0.678  -0.725
5	-0.688  -0.168   0.705   0.725  -0.121   0.678
6	-0.705  -0.168   0.688  -0.678  -0.121  -0.725
7	-0.688   0.168   0.705   0.725   0.121   0.678
8	-0.705   0.168   0.688  -0.678   0.121  -0.725
9	-0.168  -0.688   0.705  -0.121   0.725   0.678
10	-0.168  -0.705   0.688  -0.121  -0.678  -0.725
11	 0.168  -0.688   0.705   0.121   0.725   0.678
12	 0.168  -0.705   0.688   0.121  -0.678  -0.725
13	 0.705  -0.168   0.688   0.678  -0.121  -0.725
14	 0.688  -0.168   0.705  -0.725  -0.121   0.678
15	 0.705   0.168   0.688   0.678   0.121  -0.725
16	 0.688   0.168   0.705  -0.725   0.121   0.678
17	 0.688  -0.705   0.168  -0.725  -0.678   0.121
18	 0.705  -0.688   0.168   0.678   0.725   0.121
19	-0.688   0.705   0.168   0.725   0.678   0.121
20	-0.705   0.688   0.168  -0.678  -0.725   0.121
21	-0.705  -0.688   0.168  -0.678   0.725   0.121
22	-0.688  -0.705   0.168   0.725  -0.678   0.121
23	 0.705   0.688   0.168   0.678  -0.725   0.121
24	 0.688   0.705   0.168  -0.725   0.678   0.121
